Name,Address,District,AGA Division,PS/MC/UC,Latitiude,Logitute
WELIGAMA BAY DIVE CENTER,"NO 126,KAPPARATHOTA,WELIGAMA",Matara,Matara,Matara Divisional Secretariat,5.961166495,80.41988127
KALPITIYA DISCOVERY DIVING,"ERUMBUKADAL,KALPITIYA ROAD,ETHALAI",Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,8.096044538,79.70738367
DE SILVA WIND RESORT KALPITIYA (PVT) LTD,"19A,KALUWAMODARA,ALUTHGAMA",Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,8.230867349,79.740978
DIYAKAWA WATER SPORTS CENTRE,"NO 10,RIVER AVENUE,ALUTHGAMA",Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,6.429203575,79.99724918
KAPPALADY KITEGARDEN,"KAPPALADY,TALAWILA CHURCH 61344,PUTTALAM",Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,8.136645615,79.710058
THE RASCALS KITE RESORT,"KUDAWA, KANDAKULIYA, KALPITIYA.",Puttalam,Ampara,Ampara Divisional Secretariat,8.259151289,79.76527745
KITESURFING LANKA,"DUTCH BAY ROAD, KANDAKULIYA, KALPITIYA",Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,8.216536594,79.71565027
BLUE WATER SPORTS,"NO.312, DYKE STREET, TRINCOMALEE.",Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,8.567198103,81.2387605
DINUDA RESORT (PVT) LTD,"PUDUKUDURIPPU,SETHAWADI,KALPITIYA",Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,8.229086343,79.7369996
SRILANKAKITE,"DOLPHIN VIEW ECO LODGE,SETHAWADIYA,61360 KALPITIYA.",Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,8.237847084,79.74550258
KITE CENTER SRI LANKA,"22/2 1/1,PERERA MAWATHA,KALUBOWILA,DEHIWALA.",Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,6.850301352,79.87280488
THE RAFTERS RETREAT,HILLAND GROUP KITHULGALA,Kegalle,Kegalle,Kegalle Divisional Secretariat,6.996017417,80.40516371
AQUA SPORTREIZEN,"29B,S.DE.S. JAYASINGHE MAWATHA,KALUBOWILA,DEHIWALA.",Kalutara,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,6.866705033,79.87900701
KITE BEACH VILLAS,"SETHAWADI, KUDAWA ROAD, KANDAKULIYA, KALPITIYA",Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,8.226327198,79.724358
WHITE WATERS EDGE,"39KM POST, KITHULGALA",Kegalle,Yatiyantota Pradeshiya Sabha,Yatiyanthota Divisional Secretariat,6.998682621,80.48975272
BORDERLANDS LANKA,NO. 22 BATAKITTA KITULGALA,Kegalle,Yatiyantota Pradeshiya Sabha,Yatiyanthota Divisional Secretariat,7.025490561,80.41557968
SUNSET ARALIYA WATER SPORTS,"GALLE ROAD , KALUWAMODARA , ALUTHGAMA.",Kalutara,Aluthgama,Beruwala Divisional Secretariat,6.439417657,79.99376078
SRI LANKA DIVING TOURS,"159/B PORUTOTA ROAD , PALLANGATHURAI KOCHCHIKADE",Gampaha,Negombo,Negombo Divisional Secretariat,7.249226017,79.84214068
MIRISSA WATERSPORTS (PVT) LTD,"GALLE ROAD,MIRISSA (MIRISSA HARBOUR)",Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,5.947021564,80.45137058
